,name,commit,protected
0,DOCS/docs_initializing_mkdocs_documentation,"{'sha': '1ddd9a0b48e53ccb8cbb8cb5d8eee4a9971587cf', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/1ddd9a0b48e53ccb8cbb8cb5d8eee4a9971587cf'}",False
1,DummyLM-patch,"{'sha': 'b5433b27619c89fd51be529664ef85fa957ff5a5', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/b5433b27619c89fd51be529664ef85fa957ff5a5'}",False
2,ENH/enh_adding_pull_request_template,"{'sha': '0580d49ec9255cba94dba45bedc71e362a007191', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/0580d49ec9255cba94dba45bedc71e362a007191'}",False
3,FEAT/feat_adding_missing_precommit,"{'sha': '3c0eb6b4333b5d9faaf78185253cda594109296c', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/3c0eb6b4333b5d9faaf78185253cda594109296c'}",False
4,FEAT/feat_ops_adding_precommits,"{'sha': '18cee06ffc7db2295ddd7eafbede6377e3981a7b', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/18cee06ffc7db2295ddd7eafbede6377e3981a7b'}",False
5,MIPRO-doc-update,"{'sha': '48eea084eeed0d5e3fa15cd977734d950ce0468a', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/48eea084eeed0d5e3fa15cd977734d950ce0468a'}",False
6,Multi-GPU-Inference,"{'sha': '210d8d1f30425bd5b751b45da580e3fed0332b68', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/210d8d1f30425bd5b751b45da580e3fed0332b68'}",False
7,OPS/ops_activating_pre_commit_hook,"{'sha': 'd4fa53529e8f29bb018500ec1fc0d3e7951af452', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/d4fa53529e8f29bb018500ec1fc0d3e7951af452'}",False
8,OPS/ops_adding_base_actions_for_semantic_release,"{'sha': '03d085ee5ab7457efa744c6236ce5b4661d6c18d', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/03d085ee5ab7457efa744c6236ce5b4661d6c18d'}",False
9,OPS/ops_adding_loguru_to_dependencies,"{'sha': '55980c9e96a91faee7c6b2cc1f3f219c6246f3f3', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/55980c9e96a91faee7c6b2cc1f3f219c6246f3f3'}",False
10,OPS/ops_adding_mkdocs_deploy_cicd_action,"{'sha': 'c118eb638a0d11d7753f687bbb0cb3735da3757d', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/c118eb638a0d11d7753f687bbb0cb3735da3757d'}",False
11,PoT,"{'sha': '329bc1b90de1bed6ac2b4ad61752d820b74310ef', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/329bc1b90de1bed6ac2b4ad61752d820b74310ef'}",False
12,RM-patch,"{'sha': '60c325537f77ffb4f1a6eb2616800e8d678de32b', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/60c325537f77ffb4f1a6eb2616800e8d678de32b'}",False
13,add-dataloaders,"{'sha': 'ce20cb5e3f373104fa9a711fa68fd61986a168c8', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/ce20cb5e3f373104fa9a711fa68fd61986a168c8'}",False
14,add-function-inspect-readme,"{'sha': '16cdbbef40f3c78fd3b691e5dfe9a784c2abdb3e', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/16cdbbef40f3c78fd3b691e5dfe9a784c2abdb3e'}",False
15,add-pr-comment-ruff,"{'sha': '958cd6a1cfb5eaeabf12fe7c1349b2c17e139322', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/958cd6a1cfb5eaeabf12fe7c1349b2c17e139322'}",False
16,add-test-coverage,"{'sha': '9bcd28737251e5a7e410a138849c9070fa45ea95', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/9bcd28737251e5a7e410a138849c9070fa45ea95'}",False
17,anyscale_client,"{'sha': 'c4f95b585c8c1414f73a26eee806ad14fdee110c', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/c4f95b585c8c1414f73a26eee806ad14fdee110c'}",False
18,assert-aware-metrics,"{'sha': 'f985fe1e0fbeb3359ee7dbdb562796ff2d7b8ce5', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/f985fe1e0fbeb3359ee7dbdb562796ff2d7b8ce5'}",False
19,assertions_patches,"{'sha': '9f58eeefd18dc9ff5d83fc4592d0c7dc82e1387e', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/9f58eeefd18dc9ff5d83fc4592d0c7dc82e1387e'}",False
20,assertions_references,"{'sha': 'ed5899929ee5a2b1040ff230e702e4a06e66f62d', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/ed5899929ee5a2b1040ff230e702e4a06e66f62d'}",False
21,auto_eval_programs,"{'sha': '4fd7d76713edc052ddc230f55a25fe70af1ae554', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/4fd7d76713edc052ddc230f55a25fe70af1ae554'}",False
22,auto-evaluation-modules,"{'sha': 'b85667212c8007e931c036c45c5eed1ace2b09fe', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/b85667212c8007e931c036c45c5eed1ace2b09fe'}",False
23,backend-refactor,"{'sha': 'ed8bc1cbc756522d32b445739352896011048506', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/ed8bc1cbc756522d32b445739352896011048506'}",False
24,bird-evaluation,"{'sha': '1f16e766b765f6862e81e347486c0ee3de81adff', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/1f16e766b765f6862e81e347486c0ee3de81adff'}",False
25,bug/IVF_index_creation_error,"{'sha': '4821e8307e299a9edf4340670124e289468ecfd8', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/4821e8307e299a9edf4340670124e289468ecfd8'}",False
26,bug/hf_cpu,"{'sha': '158e494bec98077ffcb9ec88fb4fd89c26f6dedd', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/158e494bec98077ffcb9ec88fb4fd89c26f6dedd'}",False
27,bug/minor_azure_api_fix,"{'sha': '1f35aac654f5cdaf95da7ba1463409f8eeec060b', 'url': 'https://api.github.com/repos/stanfordnlp/dspy/commits/1f35aac654f5cdaf95da7ba1463409f8eeec060b'}",False
