,Type,Related url,planned/unplanned,Cause,Body,Start Time,End Time,Duration,Context
1,Knowledge Integration,https://github.com/stanfordnlp/dspy/pull/756,unplanned,Unknown,Updated docs to MIPRO and COPRO SignatureOptimizer names are deprecated,2024-04-02T18:35:15Z,2024-04-02T19:54:02Z,0 days 01:18:47,update docs mipro copro signatureoptimizer name deprecate
3,Knowledge Integration,https://github.com/stanfordnlp/dspy/pull/753,unplanned,Unknown,"Increase chances that VSCode dev container will use Poetry venv ## 📝 Changes Description

This MR/PR contains the following changes:
* Builds the dev container Poetry venv within the workspace
* Includes VSCode setting to choose the poetry Python interpreter by default
* Includes additional warning about interpreter at the end of the dev container build to provide instructions on how to choose the correct interpreter if it's not already selected
* Updates contributing markdown file with these additional instructions

We got reports that people were not able to run the unit tests after building the dev container. After further investigation, I found that this is not due to the dev container itself but instead in the Python interpreter selected by the user. If the user has the OS default Python interpreter selected, that interpreter will not have access to the packages installed by Poetry. Because poetry creates it's own venv, we need to use the Poetry interpreter rather than any of the other interpreters installed in the dev container. By default, the dev container should find and use this Poetry interpreter but if a user has previously selected a different interpreter for the workspace, it will not attempt to find the Poetry interpreter. 

To resolve this, we're adding additional instructions in the logs of the dev container build as well as in the `contributing.md` file. Additionally, the Poetry venv will now be built within the VSCode workspace rather than outside of it. Because it's inside the workspace, we're now able to add the Poetry interpreter as the default interpreter in the VSCode settings. If a user has selected a different interpreter, this setting will not override that selection but it will make it easier to select the correct interpreter as this makes the Poetry interpreter not only the recommended interpreter but also the default. The instructions to ensure developers are using the correct interpreter should now be hard to miss and the issue should be less likely to occur in the first place. Unfortunately, there's no way to force VSCode to use the Poetry interpreter. The best we can do is set it explicitly as the default.

## ✅ Contributor Checklist

- [] Pre-Commit checks are passing (locally and remotely)
- [] Title of your PR / MR corresponds to the required format
- [] Commit message follows required format {label}(dspy): {message}

## ⚠️ Warnings

Anything we should be aware of ?
",2024-04-02T02:32:01Z,2024-04-02T18:14:58Z,0 days 15:42:57,increase chance vscode dev container use poetry venv change description mrpr contains follow change build dev container poetry venv within workspace include vscode set choose poetry python interpreter default include additional warning interpreter end dev container build provide instruction choose correct interpreter already select update contribute markdown file additional instruction get report people able run unit test build dev container investigation find due dev container instead python interpreter select user user o default python interpreter select interpreter access package instal poetry poetry create venv need use poetry interpreter rather interpreter instal dev container default dev container find use poetry interpreter user previously select different interpreter workspace attempt find poetry interpreter resolve add additional instruction log dev container build well contributingmd file additionally poetry venv build within vscode workspace rather outside inside workspace able add poetry interpreter default interpreter vscode setting user select different interpreter set override selection make easy select correct interpreter make poetry interpreter recommend interpreter also default instruction ensure developer use correct interpreter hard miss issue less likely occur first place unfortunately theres way force vscode use poetry interpreter best set explicitly default contributor checklist precommit check pass locally remotely title pr mr corresponds require format commit message follow require format labeldspy message warning anything aware
4,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/751,unplanned,Unknown,"Added support for models on AWS Bedrock and Sagemaker This check-in replaces the old Bedrock module which was incomplete and obsolete. The new code refactors the module into aws_providers and aws_models and allows extending to new models.
Supported aws providers - Bedrock and Sagemaker
Supported models - Mistral, Anthropic, Llama (extensible design to add custom models)

```
""""""Test harness: Testing the AWS modules""""""
import dspy
from dspy import AWSAnthropic, AWSLlama2, AWSMistral, AWSModel, Bedrock, Sagemaker


class QASignature(dspy.Signature):
    """"""answer the question""""""

    question = dspy.InputField()
    answer = dspy.OutputField()


def test_aws_models(lm: AWSModel):
    """"""Test the models on the given AWS provider""""""

    predict_func = dspy.ChainOfThought(QASignature)
    with dspy.context(lm=lm):
        answer = predict_func(question=""What is the capital of France"")
        assert ""paris"" in str(answer).lower()
        print(answer)


if __name__ == ""__main__"":
    # NOTE: Configure your AWS credentials with the AWS CLI before running this test!

    bedrock = Bedrock(region_name=""us-west-2"")
    test_aws_models(AWSMistral(bedrock, model=""mistral.mixtral-8x7b-instruct-v0:1""))
    test_aws_models(AWSMistral(bedrock, ""mistral.mistral-7b-instruct-v0:2""))
    test_aws_models(AWSAnthropic(bedrock, ""anthropic.claude-3-haiku-20240307-v1:0""))
    test_aws_models(AWSAnthropic(bedrock, ""anthropic.claude-3-sonnet-20240229-v1:0""))
    # this is slower than molasses and generates irrelevant content after the answer!!
    # You may have to wait for 10-15min before it returns
    test_aws_models(AWSLlama2(bedrock, ""meta.llama2-70b-chat-v1""))

    # NOTE: Configure your Sagemaker endpoints before running this test!
    sagemaker = Sagemaker(region_name=""us-west-2"")
    # NOTE: Replace model value below with your own endpoint name
    test_aws_models(AWSMistral(sagemaker, model=""g5-48xlarge-mixtral-8x7b""))
```",2024-04-01T17:03:49Z,2024-04-01T21:01:56Z,0 days 03:58:07,added support model aws bedrock sagemaker checkin replaces old bedrock module incomplete obsolete new code refactors module awsproviders awsmodels allow extend new model support aws provider bedrock sagemaker support model mistral anthropic llama extensible design add custom model test harness test aws module import dspy dspy import awsanthropic awsmistral awsmodel bedrock sagemaker class qasignaturedspysignature answer question question dspyinputfield answer dspyoutputfield def testawsmodelslm awsmodel test model give aws provider predictfunc dspychainofthoughtqasignature dspycontextlmlm answer predictfuncquestionwhat capital france assert paris stranswerlower printanswer name main note configure aws credential aws cli run test bedrock testawsmodelsawsmistralbedrock testawsmodelsawsmistralbedrock testawsmodelsawsanthropicbedrock testawsmodelsawsanthropicbedrock slow molasses generate irrelevant content answer may wait return note configure sagemaker endpoint run test sagemaker note replace model value endpoint name testawsmodelsawsmistralsagemaker
5,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/743,unplanned,Unknown,Fixed missing copy in TypedPredictor None,2024-03-30T20:58:22Z,2024-03-30T20:58:29Z,0 days 00:00:07,fix miss copy typedpredictor none
6,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/742,unplanned,Unknown,"docs: examples for saving and loading modules after optimizing ## 📝 Added information about saving and loading modules in the documentation

This MR/PR contains the following changes:
* A new section in the Optimizers Building Blocks page about saving and loading an optimized program
* A new section in the Cheat Sheet about saving and loading modules

",2024-03-30T20:18:05Z,2024-03-30T21:52:01Z,0 days 01:33:56,doc example save load module optimize added information save loading module documentation mrpr contain follow change new section optimizers build block page save load optimize program new section cheat sheet save loading module
7,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/741,unplanned,Unknown,docs: add an explain blog post to other resources None,2024-03-30T06:17:06Z,2024-03-30T06:20:48Z,0 days 00:03:42,doc add explain blog post resource none
9,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/731,unplanned,Unknown,"Fix OpenAIVectorizer Fixes #728 

-[ ] Squash commits, obey commit message guidelines

Currently the use of OpenAIVectorizer fails with recent OpenAI API version(s): 

Versions: 
`openai==1.13.3`
`dspy-ai==2.4.0` (same relevant code on main)

Error: 
```
cur_batch_embeddings = [cur_obj['embedding'] for cur_obj in response['data']]
                                                            ~~~~~~~~^^^^^^^^
TypeError: 'CreateEmbeddingResponse' object is not subscriptable
```

A minimal failing example is given in the tests. The tests commit shows the failure before the fix. **The tests require an API key and are therefore skipped if one isn't set.**

Fix currently tested with Python: (3.11, 3.10) Openai (1.14.3, 1.13.3) on Mac:
```
platform darwin -- Python 3.10.13, pytest-6.2.5, py-1.11.0, pluggy-1.4.0
openai==1.14.3
```

Still need to determine the low end openai version this breaks. 
",2024-03-28T18:24:16Z,2024-03-28T18:34:24Z,0 days 00:10:08,fix openaivectorizer fix squash commits obey commit message guideline currently use openaivectorizer fails recent openai api version version relevant code main error curbatchembeddings curobj response typeerror createembeddingresponse object subscriptable minimal fail example give test test commit show failure fix test require api key therefore skip one isnt set fix currently test python openai mac platform darwin python still need determine low end openai version break
10,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/727,unplanned,Unknown,Fix typo in minimal-example.mdx None,2024-03-28T06:59:31Z,2024-03-28T07:03:00Z,0 days 00:03:29,fix typo minimalexamplemdx none
11,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/725,unplanned,Unknown,docs: fix cheatsheet no RM loaded error in ReAct None,2024-03-27T18:52:35Z,2024-03-30T06:15:31Z,2 days 11:22:56,docs fix cheatsheet rm load error react none
12,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/721,unplanned,Unknown,"Added kwargs parameter for retrievers and text to SQL pipeline using DSPy All the retrievers support metadata filtering arguments, which can be passed during `dspy.Retrieve(k=num_passages)` as `**kwargs`. This PR add just the `**kwargs` parameter to retriever which can be passed to the retriever client and we can sample passages based on metadata. For example in ChromaDB, we have

```
retrieve = dspy.Retrieve(k=3)
retrieve(""What is valuation"",where={'book_source': 'Investment_Valuations_techniques'})
```
We will only retrieve documents for the given book source and send to reranker or model for next stages in the pipeline",2024-03-26T07:21:24Z,2024-04-03T01:24:34Z,7 days 18:03:10,add kwargs parameter retriever text sql pipeline use dspy retriever support metadata filter argument pass dspyretrieveknumpassages kwargs pr add kwargs parameter retriever pass retriever client sample passage base metadata example chromadb retrieve retrievewhat valuationwherebooksource investmentvaluationstechniques retrieve document give book source send reranker model next stage pipeline
13,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/719,unplanned,Unknown,"fix(dsp): in `HFClientVLLM`, actually use `kwargs` in the payload instead of discarding them in `dsp.modules.HFClientVLLM` class the `kwargs` are supposed to be passed to the vllm openai endpoint (cf. the docs) but are discarded instead. This is related to the issue here : https://github.com/stanfordnlp/dspy/issues/718

In this PR, there are some modifications to the `dsp.modules.HFClientVLLM` class:

1.  In the `__init__` the `kwargs` were actually unused. In this PR those are attached to `self.` instead of being discarded.
2. The model of the payload was provided by the `kwargs` of `_generate` method, disregarding the value initialized in the `__init__`. This is fixed in this PR.
3. Two optional parameters were made mandatory (`temperature` and `max_tokens`) in the `_generate` method. Those were made mandatory because it was a direct `kwargs[""<parameter>""]`, which would raise `KeyError`. In this PR, those two dictionary access have been deleted.
4. Finally, still in the `_generate` method, the kwargs were never actually passed to the vllm endpoint. In this PR we fix this by unpacking the `kwargs` into the payload so that the extra arguments.",2024-03-25T23:28:16Z,2024-04-01T21:57:25Z,6 days 22:29:09,fixdsp hfclientvllm actually use kwargs payload instead discard dspmoduleshfclientvllm class kwargs suppose pass vllm openai endpoint cf doc discard instead related issue pr modification dspmoduleshfclientvllm class init kwargs actually unused pr attach self instead discard model payload provide kwargs generate method disregard value initialize init fix pr two optional parameter make mandatory temperature maxtokens generate method make mandatory direct kwargs would raise keyerror pr two dictionary access delete finally still generate method kwargs never actually pass vllm endpoint pr fix unpack kwargs payload extra argument
15,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/716,unplanned,Unknown,"Update Cohere LM to use  the `/chat` API and add support for Command-R Cohere has deprecated the /generate API in favor of /chat. More info can be found here: https://docs.cohere.com/reference/chat.

Implementation follows the example of `dsp/modules/gpt3.py`.

[ToDo in the future, not in this PR]
- Would be interesting to look into the `connectors` and `documents` APIs.
- Also would be good to add the same logging in OpenAI to Cohere, `log_usage`",2024-03-25T21:48:34Z,2024-03-27T14:23:18Z,1 days 16:34:44,update cohere lm use chat api add support commandr cohere deprecate generate api favor chat info find implementation follow example would interest look connector document apis also would good add log openai cohere logusage
17,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/714,unplanned,Unknown,docs: missing links in the doc None,2024-03-25T21:00:50Z,2024-03-26T16:22:27Z,0 days 19:21:37,doc miss link doc none
18,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/713,unplanned,Unknown,docs: fix the order of the output section None,2024-03-25T17:00:45Z,2024-03-25T17:09:55Z,0 days 00:09:10,doc fix order output section none
19,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/712,unplanned,Unknown,"fix(dsp/modules/gpt3): fix system_prompt overwrite, as discussed in PR #618 comments The system_prompt is currently overwritten when setting kwargs[“messages”]. This is fixed by setting kwargs[“messages”] = messages, where messages contains the system prompt if self.system_prompt is given.
Full credit to @Markovian99 for spotting this bug in PR #618 comments.",2024-03-25T14:34:33Z,2024-04-01T18:03:55Z,7 days 03:29:22,fix systemprompt overwrite discuss pr comment systemprompt currently overwritten set kwargs fix set kwargs message message contains system prompt selfsystemprompt give full credit spot bug pr comment
20,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/711,unplanned,Unknown,docs(api/retrieval_model_clients/ChromadbRM): fix typo in import statement fixing a minor typo by replacing chroma_rm with chromadb_rm in demo import statement,2024-03-25T13:42:16Z,2024-03-25T13:45:12Z,0 days 00:02:56,docsapiretrievalmodelclientschromadbrm fix typo import statement fix minor typo replace chromarm chromadbrm demo import statement
21,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/710,unplanned,Unknown,"feat(ProgramofThought): added support for custom whitelists and dynamic input and output field naming (continuation of #665) While, the PythonInterpreter and CodePrompt modules allowed for importing a white_list, this functionality hadn't been made available directly inside ProgramofThought. This was causing repeated hinderance when language models would try to use any math packages that were not allowed like sympy etc, which makes for a bad dev UX.
This also updates the ProgramOfThought class to support dynamic input and output field names, improving user experience and flexibility. The changes include:
Modifying the __init__ method to store input and output fields from the provided signature
Updating the generation of input and output field names in the instruction strings
Refactoring the _generate_signature and _generate_instruction methods to handle dynamic field names
Modifying the forward method to use dynamic input field names instead of hardcoded names
These changes allow users to define their own input and output field names in the signature, making the ProgramOfThought class more adaptable to different use cases.",2024-03-25T07:08:55Z,2024-03-25T19:53:00Z,0 days 12:44:05,featprogramofthought add support custom whitelists dynamic input output field name continuation pythoninterpreter codeprompt module allow import whitelist functionality hadnt make available directly inside programofthought cause repeat hinderance language model would try use math package allow like sympy etc make bad dev ux also update programofthought class support dynamic input output field names improve user experience flexibility change include modify init method store input output field provide signature update generation input output field name instruction string refactoring generatesignature generateinstruction method handle dynamic field name modify forward method use dynamic input field name instead hardcoded name change allow user define input output field name signature make programofthought class adaptable different use case
22,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/709,unplanned,Unknown,"[feat] add from_parquet to dataloader A parquet file loader would be a convenient addition to the dataloader class. I particularly like that parquet files preserve types better than a csv file.

Here's the change:

```python
def from_parquet(self, file_path: str, fields: list[str] = None, input_keys: tuple[str] = ()) -> list[dspy.Example]:
        dataset = load_dataset(""parquet"", data_files=file_path)[""train""]

        if not fields:
            fields = list(dataset.features)

        return [dspy.Example({field: row[field] for field in fields}).with_inputs(input_keys) for row in dataset]
```

Note, this PR was originally made in #483, but something with git hooks prevented test from being able to run.",2024-03-25T00:42:22Z,2024-03-25T20:49:05Z,0 days 20:06:43,add fromparquet dataloader parquet file loader would convenient addition dataloader class particularly like parquet file preserve type well csv file here change python def fromparquetself filepath str field list none inputkeys tuple list dataset loaddatasetparquet datafilesfilepath field field listdatasetfeatures return field fieldswithinputsinputkeys row dataset note pr originally make something git hook prevent test able run
23,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/707,unplanned,Unknown,"fix for weaviate outdated client version. Issue 699 I upgraded the client version in the poetry project configuration. I changed the contract of the init method to pass a few additional parameters important for configuring the hybrid query. 

I did not commit the poetry.lock file, as this is giving regular merge problems. I hope that is done before creating a release.",2024-03-24T10:07:55Z,2024-03-25T20:49:34Z,1 days 10:41:39,fix weaviate outdated client version issue upgrade client version poetry project configuration change contract init method pass additional parameter important configure hybrid query commit poetrylock file give regular merge problem hope do create release
24,Direct Implementation,https://github.com/stanfordnlp/dspy/pull/705,unplanned,Unknown,"Added Weaviate installation guide Minor change, adding Weaviate pip install guide (it was missing).",2024-03-23T22:52:49Z,2024-03-23T23:21:22Z,0 days 00:28:33,added weaviate installation guide minor change add weaviate pip install guide miss
