,created_at,html_url,name,body,published_at
0,2024-04-03T07:52:38Z,https://github.com/stanfordnlp/stanza/pull/1378,,"For languages where the MWT words exactly make up the text of the token, build the pieces of the MWT using the text from the original token we are splitting.  Should fix a bunch of the errors observed in https://github.com/stanfordnlp/stanza/issues/1371",
1,2024-04-01T22:18:26Z,https://github.com/stanfordnlp/stanza/issues/1377,,"**Describe the bug**
With the introduction of multi-word tokens (MWT) for english, we came across a test case where the tokens of a multi-word token are not linked correctly to associated token ids.  

**To Reproduce**
Steps to reproduce the behavior:
1. Run the sentence:
```
I dunno.
```
2. Check the Universal Dependencies, in particular the tokens for `dunno` reveal that one of the tokens for that word is not linked to by its multi-word token:

```json

[

// multi-word token here for ""dunno""
// id only links to 2 and 4, missing 3  
  {
    ""end_char"": 7,
    ""id"": [
      2,
      4
    ],
    ""misc"": ""SpaceAfter=No"",
    ""start_char"": 2,
    ""text"": ""dunno""
  },

// ""du"" is linked by this multi-word token
  {
    ""deprel"": ""root"",
    ""end_char"": 4,
    ""feats"": ""Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin"",
    ""head"": 0,
    ""id"": 2,
    ""lemma"": ""do"",
    ""start_char"": 2,
    ""text"": ""du"",
    ""upos"": ""AUX"",
    ""xpos"": ""VBP""
  },
  
  / ""n"" not linked by multi-word token
  {
    ""deprel"": ""advmod"",
    ""end_char"": 5,
    ""head"": 2,
    ""id"": 3,
    ""lemma"": ""not"",
    ""start_char"": 4,
    ""text"": ""n"",
    ""upos"": ""PART"",
    ""xpos"": ""RB""
  },
  
  // ""no"" is linked by multi-word token
  {
    ""deprel"": ""discourse"",
    ""end_char"": 7,
    ""head"": 2,
    ""id"": 4,
    ""lemma"": ""no"",
    ""start_char"": 5,
    ""text"": ""no"",
    ""upos"": ""INTJ"",
    ""xpos"": ""UH""
  },
]

   
```

**Expected behavior**
The MWT token links to all of the children tokens it encompasses. id: `[2, 3, 4]`

**Environment (please complete the following information):**
 - OS: Mac OS Ventura 
 - Python version: Python 3.12.2 using Poetry 1.8.2
 - Stanza version: Stanza from the `dev` branch up to commit b62c1e7f8e0e17e

**Additional context**
I'm not sure if this behaviour is intended or not.  Are the IDs of the MWT token intended to act as a tuple, i.e. a range, or should they include every token that's a member of the multi-word token?  If it's the latter then I believe this is a bug.",
2,2024-03-26T06:40:55Z,https://github.com/stanfordnlp/stanza/pull/1375,,"Make a variant of the dataloader which limits a batch to 5000 words or less (by default) for the Pipeline.  Should help avoid OOM for things such as a few very long sentence soaking up too many resources.  https://github.com/stanfordnlp/stanza/issues/1372
",
3,2024-03-25T13:13:58Z,https://github.com/stanfordnlp/stanza/issues/1374,,"**Describe the bug**
When I download the 'grc' model the download reaches 100%, but I get the following error:
ValueError: md5 for /home/my_name/stanza_resources/grc/default.zip is 7c3562a76f82045c92e8216c68ee00a0, expected 9855292e615b94b30581504c2941a96a

**To Reproduce**
Steps to reproduce the behavior:
1. Open the Python interpreter
```
import stanza
stanza.download('grc')

Downloading https://raw.githubusercontent.com/stanfordnlp/stanza-resources/main/resources_1.8.0.json: 379kB [00:00, 16.8MB/s]
2024-03-25 14:00:37 INFO: Downloaded file to /home/silvia/stanza_resources/resources.json
2024-03-25 14:00:37 INFO: Downloading default packages for language: grc (Ancient_Greek) ...
Downloading https://huggingface.co/stanfordnlp/stanza-grc/resolve/v1.8.0/models/default.zip: 100%|█| 121M/121M [00:14<0
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
  File ""/home/silvia/stanza-testenv/lib/python3.8/site-packages/stanza/resources/common.py"", line 594, in download
    request_file(
  File ""/home/silvia/stanza-testenv/lib/python3.8/site-packages/stanza/resources/common.py"", line 154, in request_file
    assert_file_exists(path, md5, alternate_md5)
  File ""/home/silvia/stanza-testenv/lib/python3.8/site-packages/stanza/resources/common.py"", line 107, in assert_file_exists
    raise ValueError(""md5 for %s is %s, expected %s"" % (path, file_md5, md5))
ValueError: md5 for /home/silvia/stanza_resources/grc/default.zip is 7c3562a76f82045c92e8216c68ee00a0, expected 9855292e615b94b30581504c2941a96a
```

**Expected behavior**
No error at the end of download.

**Environment (please complete the following information):**
 - OS: Ubuntu for Windows
 - Python version: 3.8.10
 - Stanza version: 1.8.1

**Additional context**
I installed everything in a virtual environment. But I get the same problem in a Google Colab notebook.
It does not happen if I install stanza 1.2 instead.
",
4,2024-03-02T15:53:49Z,https://github.com/stanfordnlp/stanza/issues/1359,,"**Describe the bug**
A clear and concise description of what the bug is.

**To Reproduce**
Steps to reproduce the behavior:
1. Go to '...'
2. Click on '....'
3. Scroll down to '....'
4. See error

**Expected behavior**
A clear and concise description of what you expected to happen.

**Environment (please complete the following information):**
 - OS: [e.g. Windows, Ubuntu, CentOS, MacOS]
 - Python version: [e.g. Python 3.6.8 from Anaconda]
 - Stanza version: [e.g., 1.0.0]

**Additional context**
Add any other context about the problem here.
",
5,2024-02-29T22:04:09Z,https://github.com/stanfordnlp/stanza/issues/1357,,"**Describe the bug**
Trying to make a Stanza pipeline with any biomedical package and receive the error 'KeyError: bert_finetune' while loading the POS tagger (occurs with or without i2b2 NER processor). 

**To Reproduce**
Steps to reproduce the behavior:
1. Running `nlp = stanza.Pipeline('en', package='mimic', processors={'ner': 'i2b2'})` or `nlp = stanza.Pipeline('en', package='craft', processors={'ner': 'i2b2'})` or `nlp = stanza.Pipeline('en', package='genia', processors={'ner': 'i2b2'})`
2.  Error, example for 'mimic' package:
```
`2024-02-29 16:41:08 INFO: Checking for updates to resources.json in case models have been updated.  Note: this behavior can be turned off with download_method=None or download_method=DownloadMethod.REUSE_RESOURCES
INFO:stanza:Checking for updates to resources.json in case models have been updated.  Note: this behavior can be turned off with download_method=None or download_method=DownloadMethod.REUSE_RESOURCES
Downloading https://raw.githubusercontent.com/stanfordnlp/stanza-resources/main/resources_1.8.0.json:
373k/? [00:00<00:00, 53.2MB/s]
2024-02-29 16:41:08 INFO: Downloaded file to /home/idies/stanza_resources/resources.json
INFO:stanza:Downloaded file to /home/idies/stanza_resources/resources.json
2024-02-29 16:41:09 INFO: Loading these models for language: en (English):
==============================
| Processor | Package        |
------------------------------
| tokenize  | mimic          |
| pos       | mimic_charlm   |
| lemma     | mimic_nocharlm |
| depparse  | mimic_charlm   |
| ner       | i2b2           |
==============================

INFO:stanza:Loading these models for language: en (English):
==============================
| Processor | Package        |
------------------------------
| tokenize  | mimic          |
| pos       | mimic_charlm   |
| lemma     | mimic_nocharlm |
| depparse  | mimic_charlm   |
| ner       | i2b2           |
==============================

2024-02-29 16:41:09 INFO: Using device: cpu
INFO:stanza:Using device: cpu
2024-02-29 16:41:09 INFO: Loading: tokenize
INFO:stanza:Loading: tokenize
2024-02-29 16:41:09 INFO: Loading: pos
INFO:stanza:Loading: pos
---------------------------------------------------------------------------
KeyError                                  Traceback (most recent call last)
Cell In[95], line 2
      1 #nlp = stanza.Pipeline('nl', processors={'ner': 'conll02'})
----> 2 nlp = stanza.Pipeline('en', package='mimic', processors={'ner': 'i2b2'})

File ~/miniconda3/lib/python3.9/site-packages/stanza/pipeline/core.py:305, in Pipeline.__init__(self, lang, dir, package, processors, logging_level, verbose, use_gpu, model_dir, download_method, resources_url, resources_branch, resources_version, resources_filepath, proxies, foundation_cache, device, allow_unknown_language, **kwargs)
    302 logger.debug(curr_processor_config)
    303 try:
    304     # try to build processor, throw an exception if there is a requirements issue
--> 305     self.processors[processor_name] = NAME_TO_PROCESSOR_CLASS[processor_name](config=curr_processor_config,
    306                                                                               pipeline=self,
    307                                                                               device=self.device)
    308 except ProcessorRequirementsException as e:
    309     # if there was a requirements issue, add it to list which will be printed at end
    310     pipeline_reqs_exceptions.append(e)

File ~/miniconda3/lib/python3.9/site-packages/stanza/pipeline/processor.py:193, in UDProcessor.__init__(self, config, pipeline, device)
    191 self._vocab = None
    192 if not hasattr(self, '_variant'):
--> 193     self._set_up_model(config, pipeline, device)
    195 # build the final config for the processor
    196 self._set_up_final_config(config)

File ~/miniconda3/lib/python3.9/site-packages/stanza/pipeline/pos_processor.py:32, in POSProcessor._set_up_model(self, config, pipeline, device)
     29 args = {'charlm_forward_file': config.get('forward_charlm_path', None),
     30         'charlm_backward_file': config.get('backward_charlm_path', None)}
     31 # set up trainer
---> 32 self._trainer = Trainer(pretrain=self.pretrain, model_file=config['model_path'], device=device, args=args, foundation_cache=pipeline.foundation_cache)
     33 self._tqdm = 'tqdm' in config and config['tqdm']

File ~/miniconda3/lib/python3.9/site-packages/stanza/models/pos/trainer.py:44, in Trainer.__init__(self, args, vocab, pretrain, model_file, device, foundation_cache)
     40 self.optimizers = utils.get_split_optimizer(self.args['optim'], self.model, self.args['lr'], betas=(0.9, self.args['beta2']), eps=1e-6, weight_decay=self.args.get('initial_weight_decay', None), bert_learning_rate=self.args.get('bert_learning_rate', 0.0), is_peft=self.args.get(""peft"", False))
     42 self.schedulers = {}
---> 44 if self.args[""bert_finetune""]:
     45     import transformers
     46     warmup_scheduler = transformers.get_linear_schedule_with_warmup(
     47         self.optimizers[""bert_optimizer""],
     48         # todo late starting?
     49         0, self.args[""max_steps""])

KeyError: 'bert_finetune'`
```

**Expected behavior**
No issues running basic Stanza model - i.e. `nlp = stanza.Pipeline('nl', processors={'ner': 'conll02'})`
Output: 
```
`2024-02-29 16:59:36 INFO: Checking for updates to resources.json in case models have been updated.  Note: this behavior can be turned off with download_method=None or download_method=DownloadMethod.REUSE_RESOURCES
INFO:stanza:Checking for updates to resources.json in case models have been updated.  Note: this behavior can be turned off with download_method=None or download_method=DownloadMethod.REUSE_RESOURCES
Downloading https://raw.githubusercontent.com/stanfordnlp/stanza-resources/main/resources_1.8.0.json:
373k/? [00:00<00:00, 37.7MB/s]
2024-02-29 16:59:36 INFO: Downloaded file to /home/idies/stanza_resources/resources.json
INFO:stanza:Downloaded file to /home/idies/stanza_resources/resources.json
2024-02-29 16:59:37 INFO: Loading these models for language: nl (Dutch):
===============================
| Processor | Package         |
-------------------------------
| tokenize  | alpino          |
| mwt       | alpino          |
| pos       | alpino_charlm   |
| lemma     | alpino_nocharlm |
| depparse  | alpino_charlm   |
| ner       | conll02         |
===============================

INFO:stanza:Loading these models for language: nl (Dutch):
===============================
| Processor | Package         |
-------------------------------
| tokenize  | alpino          |
| mwt       | alpino          |
| pos       | alpino_charlm   |
| lemma     | alpino_nocharlm |
| depparse  | alpino_charlm   |
| ner       | conll02         |
===============================

2024-02-29 16:59:37 INFO: Using device: cpu
INFO:stanza:Using device: cpu
2024-02-29 16:59:37 INFO: Loading: tokenize
INFO:stanza:Loading: tokenize
2024-02-29 16:59:37 INFO: Loading: mwt
INFO:stanza:Loading: mwt
2024-02-29 16:59:37 INFO: Loading: pos
INFO:stanza:Loading: pos
2024-02-29 16:59:39 INFO: Loading: lemma
INFO:stanza:Loading: lemma
2024-02-29 16:59:39 INFO: Loading: depparse
INFO:stanza:Loading: depparse
2024-02-29 16:59:40 INFO: Loading: ner
INFO:stanza:Loading: ner
2024-02-29 16:59:41 INFO: Done loading processors!
INFO:stanza:Done loading processors!`
```


**Environment (please complete the following information):**
 - OS: Windows 
 - Python version: 3.9.17
 - Stanza version:  1.8.0

Not sure if there are some obvious dependencies missing on my end. Appreciate any help you can provide. Thank you!",
6,2024-02-24T23:44:50Z,https://github.com/stanfordnlp/stanza/pull/1354,,"Fix TOP_DOWN parser for da_arboretum, which needs to look at the actual root labels rather than just assume ROOT
",
7,2024-02-24T23:43:24Z,https://github.com/stanfordnlp/stanza/pull/1353,,Update resource building to allow multiple languages in a single slice and to use finetuned transformer models for sentiment.  The latter is made reasonably efficient using peft,
8,2024-02-24T07:46:12Z,https://github.com/stanfordnlp/stanza/pull/1350,,"Initial attempt to chop up long inputs to a transformer into pieces that the transformer can digest, even if it isn't necessarily going to give great results for the later tokens in the sentence.  Addresses https://github.com/stanfordnlp/stanza/issues/1294
",
9,2024-02-22T01:57:13Z,https://github.com/stanfordnlp/stanza/pull/1348,,"Add some mechanisms for building and manipulating a silver dataset for the constituency parser.  Filtering the trees by number of matching parsers seems to help make a better silver dataset, whereas filtering by variance does not.  Will continue experimenting",
